               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  54,            0.071913,            0.027326,           0.0056669,             0.48077,             0.49901,             0.47542,             0.13827,            0.073062,            0.022209,           0.0048697,           0.0019717,           0.0019717,            0.080072
                  55,             0.07051,            0.028765,           0.0064504,             0.40573,             0.56909,             0.48394,             0.13463,            0.069574,            0.022037,           0.0047422,           0.0019997,           0.0019997,              0.0797
                  56,            0.069123,            0.027245,            0.010842,             0.51735,             0.66835,             0.59477,             0.19244,            0.067466,            0.022616,           0.0045643,           0.0020273,           0.0020273,            0.079327
                  57,            0.064021,            0.034596,           0.0065516,             0.65076,             0.68109,             0.63748,             0.18995,            0.064142,            0.022536,           0.0045103,           0.0020545,           0.0020545,            0.078955
                  58,            0.068628,            0.029579,           0.0064483,             0.62875,             0.71088,             0.66595,             0.22564,            0.060472,            0.022375,           0.0045057,           0.0020813,           0.0020813,            0.078581
                  59,            0.061805,            0.036623,           0.0055517,             0.43479,             0.69999,             0.55219,             0.14873,            0.073411,            0.022124,           0.0043404,           0.0021077,           0.0021077,            0.078208
                  60,            0.070779,            0.027237,           0.0064366,             0.61435,             0.63896,             0.65782,             0.23743,            0.063509,            0.022238,           0.0041937,           0.0021336,           0.0021336,            0.077834
                  61,            0.071375,            0.025111,           0.0061316,             0.54268,             0.64484,             0.56036,             0.16181,            0.071822,            0.021295,           0.0041048,           0.0021591,           0.0021591,            0.077459
                  62,            0.066982,            0.028411,           0.0059178,             0.54028,             0.73429,              0.6586,             0.19933,            0.065312,             0.02142,           0.0040623,           0.0021842,           0.0021842,            0.077084
                  63,            0.063987,            0.029649,           0.0057387,             0.61439,             0.70118,             0.66162,              0.2215,            0.057226,            0.022089,           0.0039793,           0.0022088,           0.0022088,            0.076709
                  64,            0.062121,            0.036027,           0.0056937,             0.64414,              0.5646,              0.6145,             0.17682,            0.064609,            0.021473,           0.0038788,            0.002233,            0.002233,            0.076333
                  65,            0.068649,            0.026376,            0.005329,             0.62346,             0.57326,             0.59398,             0.19172,             0.07251,            0.021134,           0.0038567,           0.0022567,           0.0022567,            0.075957
                  66,             0.06791,            0.036076,           0.0049844,              0.6862,             0.66007,               0.665,              0.2634,            0.071506,            0.020882,           0.0037319,           0.0022799,           0.0022799,             0.07558
                  67,             0.07565,            0.029367,           0.0052737,             0.39648,             0.63601,             0.49786,             0.16128,            0.071141,            0.020384,            0.003754,           0.0023027,           0.0023027,            0.075203
                  68,              0.0707,            0.029687,           0.0050181,             0.57285,             0.75045,             0.65327,             0.22393,            0.070341,            0.020449,            0.003893,            0.002325,            0.002325,            0.074825
                  69,            0.068273,            0.025693,           0.0052828,             0.63381,             0.75316,             0.71212,             0.22302,            0.061788,            0.021412,           0.0038909,           0.0023469,           0.0023469,            0.074447
                  70,             0.06415,             0.02894,           0.0053392,              0.6339,             0.78886,             0.72098,             0.25103,            0.059022,            0.021498,           0.0037966,           0.0023683,           0.0023683,            0.074068
                  71,            0.056796,            0.029585,            0.005129,             0.68559,             0.67179,             0.72554,             0.28499,            0.055646,             0.02138,           0.0036856,           0.0023892,           0.0023892,            0.073689
                  72,             0.05698,            0.032855,           0.0049748,             0.69636,             0.61301,             0.69136,              0.2748,            0.060436,            0.020946,           0.0035505,           0.0024096,           0.0024096,             0.07331
                  73,            0.063544,            0.024223,           0.0050158,             0.44835,             0.48829,             0.44774,             0.14922,            0.073047,            0.020662,           0.0035654,           0.0024295,           0.0024295,             0.07293
                  74,            0.073353,            0.028542,           0.0041205,             0.38805,              0.6349,             0.45539,             0.13992,            0.071072,            0.020389,           0.0035664,            0.002449,            0.002449,            0.072549
                  75,            0.068841,            0.023964,           0.0038405,             0.46931,             0.63843,             0.49098,              0.1416,            0.069819,            0.020283,           0.0035179,           0.0024679,           0.0024679,            0.072168
                  76,            0.069787,             0.04043,           0.0061885,             0.53357,             0.75665,             0.56185,             0.16267,            0.061591,            0.020791,           0.0035888,           0.0024864,           0.0024864,            0.071786
                  77,            0.062673,            0.029116,           0.0052911,             0.59212,             0.69923,             0.65566,             0.20481,             0.05771,            0.020625,           0.0036442,           0.0025044,           0.0025044,            0.071404
                  78,            0.059541,            0.033705,            0.004517,             0.61528,             0.66414,             0.69835,             0.28189,            0.061351,            0.020527,           0.0035951,           0.0025219,           0.0025219,            0.071022
                  79,            0.060168,            0.025015,           0.0050443,             0.71065,             0.67403,             0.75643,             0.26395,            0.053975,            0.020637,           0.0036636,           0.0025388,           0.0025388,            0.070639
                  80,            0.063685,            0.024644,           0.0049938,             0.52749,             0.64979,             0.58528,             0.19917,            0.059992,            0.020571,           0.0036591,           0.0025553,           0.0025553,            0.070255
                  81,            0.065416,            0.027095,           0.0056046,             0.51639,             0.68355,             0.61066,             0.19317,             0.06071,            0.019945,           0.0037296,           0.0025713,           0.0025713,            0.069871
                  82,            0.057605,            0.029047,           0.0067895,             0.68166,             0.85382,             0.83639,             0.29665,            0.052723,            0.020433,           0.0035999,           0.0025868,           0.0025868,            0.069487
                  83,            0.054723,             0.02932,           0.0045081,             0.53214,             0.85441,             0.63859,             0.20517,            0.056033,            0.020582,           0.0035201,           0.0026017,           0.0026017,            0.069102
                  84,            0.055836,             0.02773,           0.0046203,             0.73127,             0.64011,             0.72564,             0.30516,            0.055888,            0.020264,           0.0033288,           0.0026162,           0.0026162,            0.068716
                  85,            0.058482,            0.036808,           0.0057784,             0.54925,             0.55794,             0.54468,              0.1667,            0.059589,            0.020414,           0.0033014,           0.0026301,           0.0026301,             0.06833
                  86,            0.064105,            0.027013,           0.0046057,              0.4705,             0.66758,             0.54995,             0.19303,            0.061885,            0.019903,           0.0033176,           0.0026435,           0.0026435,            0.067944
                  87,            0.064155,            0.029685,           0.0052084,             0.52737,             0.67277,             0.62075,             0.22487,            0.067604,            0.019553,            0.003356,           0.0026564,           0.0026564,            0.067556
                  88,            0.068022,            0.023164,           0.0044401,             0.60017,             0.71398,             0.66011,              0.2229,            0.063021,            0.019549,           0.0032489,           0.0026688,           0.0026688,            0.067169
                  89,            0.062198,             0.03017,           0.0051831,             0.66242,             0.82414,             0.76421,             0.29096,            0.054713,            0.020042,            0.003278,           0.0026807,           0.0026807,            0.066781
                  90,            0.058875,            0.024776,           0.0048075,             0.60074,              0.7533,             0.68934,             0.25549,            0.054327,            0.019849,           0.0031987,            0.002692,            0.002692,            0.066392
                  91,            0.053589,            0.029775,           0.0043339,             0.65599,             0.73266,             0.74055,             0.26037,            0.053601,            0.019739,           0.0031362,           0.0027028,           0.0027028,            0.066003
                  92,            0.062061,              0.0233,           0.0042551,             0.47485,             0.66835,             0.56876,             0.20159,            0.059779,            0.019126,           0.0030871,           0.0027132,           0.0027132,            0.065613
                  93,            0.055687,            0.036605,           0.0046638,             0.50534,             0.80542,             0.66628,             0.26071,            0.056842,            0.019698,           0.0030325,           0.0027229,           0.0027229,            0.065223
                  94,            0.057017,            0.029602,           0.0038648,             0.58605,             0.74529,             0.66808,             0.22477,            0.054095,            0.019647,           0.0030318,           0.0027322,           0.0027322,            0.064832
                  95,            0.058385,            0.021252,           0.0038971,             0.77801,              0.8548,             0.87394,             0.39012,            0.049545,            0.019316,           0.0030296,            0.002741,            0.002741,            0.064441
                  96,            0.052827,            0.027451,           0.0036709,             0.50245,             0.84912,             0.60742,              0.2415,             0.05925,            0.019355,           0.0030026,           0.0027492,           0.0027492,            0.064049
                  97,            0.060451,            0.025374,           0.0068969,             0.63229,             0.78622,             0.75757,             0.29195,            0.053802,            0.019324,           0.0030255,           0.0027569,           0.0027569,            0.063657
                  98,            0.056571,            0.027897,           0.0049567,             0.62889,             0.70637,             0.70133,             0.26106,            0.055884,            0.019257,           0.0030515,           0.0027641,           0.0027641,            0.063264
                  99,            0.055476,            0.025278,           0.0040341,             0.67174,             0.85316,             0.80004,             0.34442,            0.050041,            0.019261,           0.0030503,           0.0027708,           0.0027708,            0.062871
                 100,            0.052989,             0.02316,           0.0054259,             0.61126,             0.74066,             0.68865,             0.26132,            0.054473,            0.019179,           0.0030582,           0.0027769,           0.0027769,            0.062477
